"id","title","type","epic_id","epic_name","sprint","status","priority","story_points","role","want","so_that","description","acceptance_criteria","dependencies","technical_notes","invest","labels"
"US-01.01","Initialize Go module and hexagonal project layout","Story","E1","Project Bootstrap and Foundations","S1","To Do","Medium","2","implementer","a properly structured Go module with the hexagonal architecture layout","all subsequent code follows clean architecture principles from day one","Create the Go module with the appropriate module path, establish the `internal/domain`, `internal/application`, `internal/ports`, `internal/adapters/inbound`, `internal/adapters/outbound`, and `cmd/opengate` directories with placeholder files, and verify that the empty project compiles. Add the `go.mod` and `go.sum` files. The work establishes the package boundaries that all subsequent stories rely on.","1. Given a fresh clone, When `go build ./...` is run, Then the build succeeds with no errors.
2. Given the project root, When `tree internal/` is run, Then the output shows the hexagonal layout with `domain`, `application`, `ports`, and `adapters` directories.
3. Given the project root, When `go mod verify` is run, Then the output reports the module's dependencies as verified.","","The layout is specified in System Design section seven. The module path is `github.com/JelenaMarjanovic/opengate`.","Independent (no dependencies). Negotiable (layout details can be adjusted in planning). Valuable (foundation for all subsequent work). Estimable (calibrated as the reference). Small (fits in two points). Testable (build commands serve as tests).","E1,S1"
"US-01.02","Configure development tooling and static analysis","Story","E1","Project Bootstrap and Foundations","S1","To Do","Medium","2","implementer","the linting and static analysis tools configured at the project level","code quality is enforced automatically rather than relying on manual review","Add configuration files for `golangci-lint` with the project's selected linter set (including `gosec`, `staticcheck`, `errcheck`, `revive`, `gofmt`, and the standard set), set up `pre-commit` hooks that run `gofmt` and `go vet` on staged files, and add a `Makefile` with targets for `lint`, `test`, and `build`. The tooling becomes part of the Definition of Done from this point forward.","1. Given the project root, When `make lint` is run, Then golangci-lint executes successfully and reports no issues on the initial codebase.
2. Given a deliberately malformed Go file, When `pre-commit` runs on staged changes, Then the malformed file fails the formatting check and the commit is rejected.
3. Given the Makefile, When `make help` is run, Then the output lists `lint`, `test`, `build`, and other available targets with brief descriptions.","US-01.01","The full golangci-lint configuration includes the linter selection appropriate for a hexagonal Go project. The pre-commit framework is the standard `pre-commit/pre-commit` tool.","All criteria satisfied.","E1,S1"
"US-01.03","Set up Docker Compose stack with Postgres and observability","Story","E1","Project Bootstrap and Foundations","S1","To Do","Medium","5","implementer","a Docker Compose configuration that brings up Postgres, the OTel collector, Tempo, Prometheus, and Grafana","local development and demo runs use the same environment","Create a `docker-compose.yml` file with services for `postgres`, `otel-collector`, `tempo`, `prometheus`, `grafana`, and `caddy` (the reverse proxy). Configure named volumes for the data-bearing services. Configure the OTel collector to receive OTLP gRPC on port 4317 and to forward traces to Tempo and metrics to Prometheus. Configure Grafana with the Tempo and Prometheus data sources auto-provisioned.","1. Given a fresh checkout, When `docker compose up -d` is run, Then all containers reach the running state within sixty seconds.
2. Given the running stack, When a browser visits the Grafana URL, Then the Grafana home page loads and the Tempo and Prometheus data sources are listed as connected.
3. Given the running stack, When the Postgres health check is queried, Then it reports healthy and accepts connections on port 5432 from within the Docker network.","US-01.01","The deployment topology is specified in System Architecture section seven. The Caddy configuration handles TLS termination and routes `/api/`, `/grafana/`, and `/` paths.","All criteria satisfied.","E1,S1"
"US-01.04","Integrate goose migration framework with embedded files","Story","E1","Project Bootstrap and Foundations","S1","To Do","Medium","3","implementer","goose integrated as a subcommand of the OpenGate binary with migration files embedded via `go:embed`","schema migrations ship with the binary and require no external files at deployment time","Add the `pressly/goose/v3` dependency, create the `cmd/opengate/migrate.go` file with the subcommand wrapper, configure `go:embed` to include the migrations directory, and add the first migration file that creates the `opengate_app` and `opengate_bypass` roles per Database Schema section thirteen.","1. Given a fresh database, When `opengate migrate up` is run, Then the goose_db_version table is created and the role migration is applied.
2. Given an applied migration, When `opengate migrate down` is run, Then the role migration is reversed and the database returns to its pre-migration state.
3. Given the binary, When the binary is built without the migrations directory in the filesystem, Then `opengate migrate status` still reports the embedded migrations as available.","US-01.01","The goose integration pattern is specified in Database Schema section three. The embedded filesystem uses Go's standard `embed` package.","All criteria satisfied.","E1,S1"
"US-01.05","Set up CI workflow with build, lint, and test","Story","E1","Project Bootstrap and Foundations","S2","To Do","Medium","3","implementer","a CI workflow that runs build, lint, and test on every push","regressions are caught automatically before they reach the main branch","Add a GitHub Actions workflow (assuming the repository is hosted on GitHub for portfolio purposes) that runs on every push and pull request. The workflow installs Go, runs `make lint`, runs `make test` against a Postgres service container, and uploads test coverage reports. The workflow is the substrate for the Definition of Done criterion that requires code to pass automated checks.","1. Given a push to a branch, When the CI workflow runs, Then the build, lint, and test stages all complete successfully on the initial codebase.
2. Given a deliberate test failure introduced in a test branch, When the CI workflow runs, Then the workflow fails and the failure annotation identifies the failing test.
3. Given a successful workflow run, When the coverage report is inspected, Then it reports the test coverage percentage across the codebase.","US-01.01, US-01.02","The workflow uses the `services` keyword to bring up a Postgres container for integration tests. Go version follows the latest stable release as specified in the PRD.","All criteria satisfied.","E1,S2"
"US-01.06","Configure structured logging and error wrapping conventions","Story","E1","Project Bootstrap and Foundations","S2","To Do","Medium","2","implementer","`log/slog`-based structured logging and consistent error wrapping in place from the start","observability and error handling are uniform across the codebase","Configure the standard library `log/slog` logger to emit JSON-formatted records to stdout at the level configured by the `LOG_LEVEL` environment variable. Establish the convention that all errors returned from adapters wrap their underlying cause via `fmt.Errorf(""%w"", err)`, and that all errors returned from use cases are domain sentinels. Add a small logging helper that extracts the trace identifier and tenant identifier from the request context and includes them in log records.","1. Given a log statement at info level, When the application runs with `LOG_LEVEL=INFO`, Then the log record appears in stdout as a JSON object with timestamp, level, and message fields.
2. Given a wrapped error chain three levels deep, When the chain is inspected with `errors.Is` against a sentinel, Then the sentinel is correctly identified.
3. Given a request with a tenant context and an active span, When a log statement is emitted within that context, Then the log record includes the tenant identifier and the trace identifier.","US-01.01","The logging conventions are specified in System Design section eight. The error wrapping conventions are specified in System Design section seven.","All criteria satisfied.

**Epic E1 total: 17 story points.**","E1,S2"
"US-02.01","Implement tenant aggregate and bootstrap CLI","Story","E2","Tenant and Identity Domain","S2","To Do","Medium","3","operator","to bootstrap a new OpenGate tenant via the CLI with the first owner user","the deployment is usable immediately after migration without requiring a self-service signup flow that this version does not provide","Create the `tenants` and `users` table migrations per Database Schema sections 5.1 and 5.2, implement the tenant and user aggregates per System Design section eleven, and add the `bootstrap` subcommand to the OpenGate binary. The subcommand reads `OPENGATE_BOOTSTRAP_TENANT_NAME`, `OPENGATE_BOOTSTRAP_OWNER_EMAIL`, and `OPENGATE_BOOTSTRAP_OWNER_PASSWORD` from the environment and creates the records in a single transaction.","1. Given the environment variables are set, When `opengate bootstrap` is run, Then a tenant row and a user row are inserted into Postgres atomically.
2. Given a missing environment variable, When `opengate bootstrap` is run, Then the command exits with a non-zero status and a clear error message identifying the missing variable.
3. Given an existing tenant with the same name, When `opengate bootstrap` is run, Then the command exits with a non-zero status without modifying the database.","US-01.04","The bootstrap uses the `opengate_bypass` role to circumvent RLS. The password is hashed with Argon2id using the parameters from System Design section nine.","All criteria satisfied.","E2,S2"
"US-02.02","Implement password hashing with Argon2id","Story","E2","Tenant and Identity Domain","S2","To Do","Medium","2","implementer","a reusable password hashing module that uses Argon2id with the OWASP-recommended parameters","user passwords are stored securely and the parameters can evolve over time without breaking existing hashes","Create `internal/auth/password.go` with `HashPassword(plaintext string) (string, error)` and `VerifyPassword(plaintext, phc string) (rehash bool, err error)` functions. The hash output is PHC-formatted including the parameters used to produce it. The verify function returns a rehash flag indicating that the stored hash uses outdated parameters and should be replaced on successful verification.","1. Given a plaintext password, When `HashPassword` is called, Then it returns a PHC-formatted string of the form `$argon2id$v=19$m=65536,t=3,p=4$<salt>$<hash>`.
2. Given a valid PHC hash and the correct plaintext, When `VerifyPassword` is called, Then it returns no error and the rehash flag is false.
3. Given a valid PHC hash with outdated parameters, When `VerifyPassword` is called with the correct plaintext, Then it returns no error and the rehash flag is true.
4. Given a valid PHC hash and a wrong plaintext, When `VerifyPassword` is called, Then it returns an error that satisfies `errors.Is(err, ErrPasswordMismatch)`.","US-01.01","The Argon2id parameters are specified in System Design section nine. The implementation uses `golang.org/x/crypto/argon2`.","All criteria satisfied.","E2,S2"
"US-02.03","Implement session creation, validation, and cleanup","Story","E2","Tenant and Identity Domain","S3","To Do","Medium","5","administrator","to log in to the dashboard and have my session validated on subsequent requests","I do not have to re-authenticate on every action and so that my session expires after inactivity for security","Create the `sessions` table migration per Database Schema section 5.3 and implement the session use case that handles login, session lookup, session refresh on activity, and explicit logout. Add the session middleware that intercepts inbound HTTP requests, extracts the session cookie, looks up the session in the database, and either populates the request context or returns 401 Unauthorized.","1. Given valid credentials for an active user, When POST `/api/v1/auth/login` is called, Then the response is 200 OK with a Set-Cookie header containing the session token, and a row is inserted into the sessions table.
2. Given an expired session cookie, When any authenticated endpoint is called, Then the response is 401 Unauthorized and the session row's last_seen_at is not updated.
3. Given a valid active session, When any authenticated endpoint is called, Then the response is processed normally and the session row's last_seen_at is updated to the current time.
4. Given an active session, When POST `/api/v1/auth/logout` is called, Then the response is 204 No Content and the session row is deleted.","US-02.01, US-02.02","Session token generation, hashing, and cookie attributes are specified in System Design section nine. The session middleware is part of the chi middleware stack.","All criteria satisfied.","E2,S3"
"US-02.04","Implement Casbin authorization adapter and middleware","Story","E2","Tenant and Identity Domain","S3","To Do","Medium","5","tenant owner","role-based authorization enforced on every API endpoint","a manager cannot perform owner-only operations and an auditor cannot perform write operations","Create the `casbin_rules` table migration per Database Schema section 5.6 with the seed rules for owner, manager, and auditor roles. Implement the Casbin authorizer adapter that loads the policy from the database at startup, caches it in memory, refreshes it every thirty seconds, and exposes an `Enforce(role, resource, action)` method. Add the authorization middleware that runs after the session middleware and checks the requested operation against the authenticated session's role.","1. Given an auditor-role session, When PUT `/api/v1/tenants/{t}/members/{m}` is called, Then the response is 403 Forbidden with a Problem Details body.
2. Given an owner-role session, When the same endpoint is called with valid payload, Then the response is processed normally.
3. Given a Casbin policy change applied via a migration, When the authorizer's refresh interval elapses, Then the new policy is in effect without requiring application restart.","US-02.03","The Casbin adapter pattern is specified in System Design section eleven. The model file (`config/rbac_model.conf`) is part of the migration's deliverables.","All criteria satisfied.","E2,S3"
