"id","name","type","status","goal","business_value","total_story_points"
"E1","Project Bootstrap and Foundations","Epic","To Do","Establish the project's foundational structure, tooling, and infrastructure such that all subsequent work proceeds against a stable platform. The epic encompasses the Go module layout following hexagonal architecture conventions, the build and test tooling, the static analysis pipeline, the Docker Compose configuration that includes Postgres and the observability stack, the goose migration framework integration, the OpenAPI scaffolding, and the initial CI workflow.","A solid foundation reduces friction for every subsequent story and prevents accidental architectural drift. The work done here is invisible in the final product but determines whether the project remains coherent over the sixty-day window or accumulates technical debt that compromises the portfolio signal.","17"
"E2","Tenant and Identity Domain","Epic","To Do","Implement the foundational identity capability that underlies every other capability in the system: tenants, administrative users, dashboard sessions, authentication, Casbin-based authorization, and the bootstrap CLI subcommand that creates the first tenant and the first owner user.","Without identity, no other capability can be exercised. Every command in the system requires an authenticated session, every authorization decision requires a Casbin policy check, and every multi-tenant isolation property requires a tenant context. The epic establishes these prerequisites and exercises the multi-tenant isolation and role-based access control patterns from PRD section four.","20"
"E3","Event Store and Projection Infrastructure","Epic","To Do","Implement the event-sourcing substrate: the `events` table, the `EventStore` port and Postgres adapter, the projection framework that materializes read models, the River job queue integration, and the projection-lag observability metrics. The epic is the most architecturally foundational after E1 and E2, because every domain aggregate in subsequent epics depends on the event store working correctly.","Event sourcing is one of the twelve architectural patterns from PRD section four. The infrastructure is invisible in the final UI but is the substrate on which audit completeness, exportability, and reconciliation are built. Without it, the system would still functionally serve requests but would not produce the senior-engineering portfolio signal.","24"
"E4","Member and Credential Domain","Epic","To Do","Implement the member and credential aggregates with their event types, command handlers, read models, and the use cases that the dashboard exposes. The epic exercises the event-sourcing and CQRS patterns in their most direct form and includes the advisory-lock-coordinated credential identifier generation flow.","Members and credentials are the most frequently mutated entities in the domain, so the patterns established here will be replicated in the policy, door, and subscription epics that follow. Getting the patterns right at this stage saves rework in later epics.","16"
"E5","Access Policy and Door Domain","Epic","To Do","Implement the access policy and door aggregates, the policy decomposition into doors, time windows, and assignments, and the time-window evaluation algorithm used by the access decision path. The epic completes the data prerequisites for the access decision in E6.","The policy capability is the heart of the configurable access control behavior; without it, the access decision in E6 would have nothing to evaluate. The deliberately restricted policy model from PFD section five is the design choice being demonstrated.","13"
"E6","Access Authorization Decision Path","Epic","To Do","Implement the synchronous access authorization decision path: the reader-facing authentication endpoint, the decision use case that orchestrates read model lookups and event store appends within a single transaction, and the decision-level idempotency cache. This epic is the runtime-critical path of the system with the fifty-millisecond p99 latency target.","The access decision is the most operationally consequential capability in OpenGate. A correctness or performance bug here would directly affect the user experience at the door. The epic exercises event sourcing, CQRS, idempotent command handling, and OpenTelemetry tracing in their most performance-sensitive composition.","13"
"E7","Reader Operations and SSE Push","Epic","To Do","Implement the SSE push side of the dual-direction reader port: the LISTEN/NOTIFY-backed fanout from use cases and projectors to active reader streams, the SSE server endpoint, the reader heartbeat endpoint, and the door status transitions that result from heartbeat freshness.","The push side completes the Reader port's dual-direction discipline established in System Architecture section eight. Without it, readers would have no way to learn of credential or policy changes during normal operation; the only state propagation would be on reconnection, which is the offline-reconciliation mode and not the steady state.","11"
"E8","Offline Reconciliation","Epic","To Do","Implement the offline reconciliation use case that accepts batches of access events from a reader that was offline, deduplicates them via composite-key idempotency, and appends them to the event store. The epic exercises the reconciliation-variant idempotency from System Design section four.","Offline reconciliation is the substrate of one of the six PRD use case scenarios and is the most distributed-systems-flavored capability in the system. Demonstrating it correctly is a senior-engineering signal because the deduplication-on-retry property is easy to get wrong.","5"
"E9","Audit Log and Compliance Queries","Epic","To Do","Implement the asynchronous audit log read model projector, the audit log read model schema with its indexes, the compliance query endpoint with multi-dimensional filtering and keyset pagination, and the CSV export of audit query results.","Audit queries are one of the six PRD use case scenarios and are the cleanest demonstration of CQRS in the system. The keyset pagination pattern is a senior-engineering signal often missing in implementations that use naive offset pagination.","13"
"E10","Webhook Subscriptions and Delivery","Epic","To Do","Implement the webhook subscription management, the HMAC-signed delivery with exponential backoff retry, the dead-letter queue, and the subscription delivery read model that surfaces the dead-letter inspection view.","Webhooks are the primary integration mechanism for OpenGate-using gyms with their other software systems. The pattern is also one of the twelve PRD architectural patterns being demonstrated.","11"
"E11","Tenant Data Export","Epic","To Do","Implement the tenant data export job that produces a signed, verifiable archive containing all of a tenant's events, read model snapshots, and configuration. The archive format and signature scheme are specified in System Architecture section eight.","Data export supports the right-to-data-portability principle that any modern multi-tenant system must respect. The Ed25519 signing scheme demonstrates cryptographic integration into application-layer features.","8"
"E12","Reader Simulator","Epic","To Do","Implement the reader simulator binary mode that drives N simulated readers per tenant, with realistic latency, occasional transient failures, and controllable online/offline schedule. The simulator is the substrate for the demo and for end-to-end tests.","The simulator makes the system demonstrable without physical hardware. It is the substrate for the demo video and for any reviewer's local exploration of the system, and so is critical to the portfolio signal even though it is operationally peripheral.","8"
"E13","Admin Dashboard Frontend","Epic","To Do","Implement the Next.js 15 admin dashboard with its seven main navigation entries (Home, Members, Credentials, Doors, Policies, Audit, Settings), the authentication flow, the permission-aware rendering, and the SSE-based real-time event feed on the home page. The dashboard is the primary user-visible artifact of the system.","The dashboard is what reviewers see first when they bring up the system. The brand palette discipline, the anti-AI-aesthetics positioning, and the dense-functional layout are all portfolio-signal elements that the dashboard surfaces.","31"
